order_number,foodItem
0,6
0,29
0,31
0,36
1,25
1,34
1,0
1,36
1,35
2,34
2,20
2,31
2,36
3,29
3,24
3,33
4,21
5,21
6,23
7,34
7,14
7,23
7,33
7,15
8,19
9,25
9,2
9,12
9,8
9,3
10,20
10,3
10,10
11,20
11,35
11,10
11,11
12,35
12,35
12,9
13,24
13,14
13,0
14,10
14,14
14,1
15,21
16,13
16,36
16,1
16,13
16,4
17,6
17,8
17,29
17,3
18,2
18,31
19,16
19,17
19,35
19,27
20,14
21,0
22,6
22,14
23,5
23,10
24,3
25,6
25,31
26,2
26,28
26,27
26,29
26,26
27,16
27,23
27,22
27,4
27,28
28,29
29,29
29,14
30,19
30,13
31,36
31,34
31,10
31,17
31,34
32,33
32,16
32,31
33,3
33,12
34,11
34,16
35,31
35,25
35,26
35,23
36,24
36,8
36,25
36,19
37,13
38,21
39,32
39,0
39,14
39,4
40,16
40,35
40,10
41,12
41,17
41,32
42,20
42,10
43,25
43,20
43,10
43,34
43,6
44,12
44,19
45,18
45,15
45,7
45,15
45,31
46,14
46,7
46,23
47,29
47,12
47,5
47,35
47,13
48,2
48,10
49,18
49,2
49,4
49,2
49,14
50,11
50,12
50,2
51,10
51,1
52,35
52,29
53,10
53,3
54,17
54,21
55,0
55,8
55,0
55,12
55,25
56,14
57,25
58,16
59,29
59,7
60,26
61,33
61,12
61,36
61,25
61,8
62,14
62,5
63,18
63,1
63,3
64,14
64,16
64,10
64,13
64,10
65,19
65,36
65,23
65,10
66,26
66,3
66,36
66,3
66,29
67,9
68,5
68,31
68,16
69,3
69,15
69,24
69,31
70,15
70,27
70,10
70,25
71,33
72,15
72,6
73,28
73,36
74,24
74,8
74,35
74,17
74,7
75,11
76,12
77,15
77,6
77,15
77,10
78,10
78,26
78,25
79,19
79,32
79,15
79,33
79,16
80,2
80,25
81,2
81,26
81,20
81,20
81,18
82,24
82,10
83,33
84,22
84,6
84,0
84,13
84,34
85,11
85,27
86,8
86,1
86,26
87,35
88,32
88,4
88,21
89,29
89,6
89,31
89,20
89,17
90,22
90,29
90,20
91,9
91,14
91,11
91,24
91,31
92,15
93,7
94,10
94,31
94,31
94,14
94,33
95,36
95,36
95,26
95,2
96,0
96,11
96,2
96,7
97,27
97,5
97,25
97,27
98,34
98,19
98,16
98,2
98,26
99,14
100,10
100,15
101,9
101,25
102,36
102,24
102,16
103,22
103,10
103,19
103,20
104,12
104,7
104,35
105,19
105,25
105,20
105,35
105,33
106,26
106,2
106,14
106,18
107,1
107,7
108,35
109,18
109,25
109,34
110,3
110,25
110,14
110,31
110,15
111,13
112,19
113,5
113,19
113,21
113,10
113,18
114,16
114,25
114,15
114,9
114,14
115,32
115,18
115,10
115,33
116,31
117,0
118,35
119,7
119,32
119,14
120,33
120,6
120,10
121,21
121,13
122,28
123,29
123,11
123,33
123,21
123,19
124,11
124,1
124,1
125,9
125,31
125,22
125,1
125,29
126,1
126,2
126,12
126,35
127,4
127,2
128,23
128,26
129,33
129,0
130,27
130,9
130,34
130,34
131,4
132,1
132,25
133,31
133,31
134,29
134,27
135,36
136,7
136,1
136,12
136,26
136,4
137,25
137,21
137,34
137,8
138,0
139,7
139,12
139,24
139,0
139,33
140,33
141,26
141,20
141,17
141,36
141,3
142,14
143,5
144,24
145,17
145,14
145,24
145,6
145,12
146,24
146,3
146,2
147,35
147,28
147,26
147,6
148,14
148,22
148,10
148,7
149,15
149,16
149,20
149,4
150,3
150,18
150,31
150,7
151,17
151,25
152,5
152,31
152,25
152,13
153,29
153,29
153,22
153,10
153,19
154,2
155,35
155,6
155,34
156,22
156,33
156,32
156,34
156,20
157,14
157,8
157,21
157,13
157,31
158,12
158,20
158,32
159,1
159,0
159,29
159,25
159,17
160,27
160,27
160,36
160,17
161,26
161,32
161,33
162,22
162,11
163,20
163,23
163,18
163,4
164,2
164,9
165,20
165,19
165,22
165,28
166,33
167,18
167,1
167,14
168,33
168,13
168,31
169,9
170,34
171,22
172,20
172,17
172,19
172,12
173,13
173,4
173,10
174,8
174,33
174,17
175,14
175,17
175,7
175,23
175,6
176,14
176,35
176,10
176,18
176,8
177,0
177,20
177,17
177,7
177,13
178,3
179,22
179,14
180,9
180,12
181,34
182,14
182,34
182,10
183,36
183,6
183,6
183,21
183,25
184,23
184,3
184,29
184,4
184,6
185,22
185,20
185,10
185,13
186,18
186,21
186,8
186,25
186,22
187,33
187,21
187,9
188,32
188,27
188,29
188,22
188,17
189,21
189,26
189,16
190,25
190,15
191,0
192,26
192,7
192,23
192,25
193,33
193,32
194,21
194,2
194,11
194,5
194,21
195,0
195,7
195,28
195,33
196,8
196,16
197,29
197,34
197,1
198,23
199,10
200,2
200,12
200,33
200,16
200,11
